region,cluster,x_min,y_min,x_max,y_max
Prague,0,14.317781170664787,50.02594064763297,14.377781170664786,50.085940647632974
Prague,1,14.57806780772091,49.99941379805525,14.69806780772091,50.119413798055255
Prague,2,14.375970678161933,50.02638586897632,14.45597067816193,50.10638586897632
Prague,3,14.476876937070841,50.05107692456387,14.576876937070843,50.15107692456387
Prague,4,14.451384005371501,49.9359547890574,14.591384005371502,50.0759547890574
Turin,0,7.621501793240034,44.95369641134801,7.721501793240034,45.05369641134801
Turin,1,7.579001159416801,45.0535091110739,7.6590011594168015,45.1335091110739
Turin,2,7.528501325224917,44.966313612425225,7.588501325224917,45.02631361242523
Turin,3,7.669017292921195,45.05691895369861,7.7290172929211955,45.116918953698615
Turin,4,7.521460953921838,45.04691210711603,7.581460953921838,45.10691210711603
Hamburg,0,9.96461075619628,53.44361150899714,10.06461075619628,53.54361150899713
Hamburg,1,10.142340335711403,53.47309662390962,10.2223403357114,53.55309662390962
Hamburg,2,9.813165733831479,53.514218309261054,10.013165733831478,53.71421830926106
Hamburg,3,9.747617923885597,53.413607296243576,9.927617923885597,53.59360729624358
Hamburg,4,10.003750881822155,53.543373982922176,10.123750881822156,53.66337398292218
